mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,Car model
17,8,302,140,3449,10.5,70,1,ford
14,8,454,220,4354,9,70,1,chevrolet
15,8,390,190,3850,8.5,70,1,amc
22,6,198,95,2833,15.5,70,1,plymouth
18,6,199,97,2774,15.5,70,1,amc
10,8,360,215,4615,14,70,1,ford
10,8,307,200,4376,15,70,1,chevy
19,6,232,100,2634,13,71,1,amc
14,8,400,175,4464,11.5,71,1,pontiac
12,8,383,180,4955,11.5,71,1,dodge
13,8,400,170,4746,12,71,1,ford
22,4,140,72,2408,19,71,1,chevrolet
35,4,72,69,1613,18,71,3,datsun
14,8,400,175,4385,12,72,1,pontiac
15,8,318,150,4135,13.5,72,1,plymouth
11,8,429,208,4633,11,72,1,mercury
13,8,400,190,4422,12.5,72,1,chrysler
13,8,307,130,4098,14,72,1,chevrolet
18,4,121,112,2933,14.5,72,2,volvo
22,4,121,76,2511,18,72,2,volkswagen
26,4,96,69,2189,18,72,2,renault
23,4,120,97,2506,14.5,72,3,toyouta
28,4,98,80,2164,15,72,1,dodge
14,8,304,150,3672,11.5,73,1,amc
13,8,350,145,3988,13,73,1,chevrolet
12,8,429,198,4952,11.5,73,1,mercury
13,8,400,150,4464,12,73,1,chevrolet
13,8,440,215,4735,11,73,1,chrysler
18,6,225,105,3121,16.5,73,1,plymouth
18,6,232,100,2945,16,73,1,amc
21,4,140,72,2401,19.5,73,1,chevrolet
18,3,70,90,2124,13.5,73,3,maxda
26,4,98,90,2265,15.5,73,2,fiat
15,8,350,145,4082,13,73,1,chevrolet
24,4,116,75,2158,15.5,73,2,opel
32,4,71,65,1836,21,74,3,toyota
25,4,140,75,2542,17,74,1,chevrolet
18,6,225,105,3613,16.5,74,1,plymouth
14,8,318,150,4457,13.5,74,1,dodge
14,8,302,140,4638,16,74,1,ford
14,8,304,150,4257,15.5,74,1,amc
16,8,400,170,4668,11.5,75,1,pontiac
24,4,134,96,2702,13.5,75,3,toyota
27,4,101,83,2202,15.3,76,2,renault
15.5,8,304,120,3962,13.9,76,1,amc
14.5,8,351,152,4215,12.8,76,1,ford
22,6,225,100,3233,15.4,76,1,plymouth
22,6,250,105,3353,14.5,76,1,chevrolet
18,6,250,78,3574,21,76,1,ford
17.5,6,258,95,3193,17.8,76,1,amc
36,4,79,58,1825,18.6,77,2,renault
17.5,6,250,110,3520,16.4,77,1,chevrolet
19,6,225,100,3630,17.7,77,1,plymouth
30.5,4,98,63,2051,17,77,1,chevrolet
33.5,4,98,83,2075,15.9,77,1,dodge
22,6,146,97,2815,14.5,77,3,datsun
43.1,4,90,48,1985,21.5,78,2,volkswagen
25.1,4,140,88,2720,15.4,78,1,ford
30.9,4,105,75,2230,14.5,78,1,dodge
21.5,6,231,115,3245,15.4,79,1,pontiac
22.3,4,140,88,2890,17.3,79,1,ford
17,8,305,130,3840,15.4,79,1,chevrolet
19.2,8,267,125,3605,15,79,1,chevrolet
31.9,4,89,71,1925,14,79,2,vw
25.4,5,183,77,3530,20.1,79,2,mercedes
31.8,4,85,65,2020,19.2,79,3,datsun
32.1,4,98,70,2120,15.5,80,1,chevrolet
24.3,4,151,90,3003,20.1,80,1,amc
19.1,6,225,90,3381,18.7,80,1,dodge
46.6,4,86,65,2110,17.9,80,3,mazda
30,4,146,67,3250,21.8,80,2,mercedes-benz
33.8,4,97,67,2145,18,80,3,subaru
29.8,4,89,62,1845,15.3,80,2,vokswagen
23.6,4,140,?,2905,14.3,80,1,ford
23.5,6,173,110,2725,12.6,81,1,chevrolet
35.1,4,81,60,1760,16.1,81,3,honda
32.3,4,97,67,2065,17.8,81,3,#VALUE!
34.5,4,100,?,2320,15.8,81,2,renault
20.2,6,200,88,3060,17.1,81,1,ford
31,4,112,85,2575,16.2,82,1,pontiac
36,4,107,75,2205,14.5,82,3,honda
34,4,108,70,2245,16.9,82,3,toyota
38,4,91,67,1965,15,82,3,honda
38,4,91,67,1995,16.2,82,3,datsun
36,4,135,84,2370,13,82,1,dodge
31,4,119,82,2720,19.4,82,1,chevy
